,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
0,NNL_1001-0288_run-001_DTILR_000,4.0,0.03444356925,5.64105795,4.570268875,29.140718579292297,0.8151330614933123,-0.44261547512614946,0.025023548,0.7802734375,984068.15625,1.5,1.5,1.5,-105.5,84.119873046875,-58.03450393676758,119.5,129.25,103.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.25211,1700.0,10.352,3000.0,1.000000478667885,0.21348407566476588,0.001341432049068029,0.0
1,NNL_1001-0288_run-001_DTIRL_000,4.0,0.023582762,5.124641575,4.11443885,32.15156853199005,0.8676086413291203,-0.37858795552359353,0.02242639675,0.7646484375,779480.71875,1.5,1.5,1.5,-105.5,84.119873046875,-58.03450393676758,122.0,131.75,98.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.25211,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0058874399156878445,0.0
2,NNL_1001-0289_run-001_DTILR_000,4.0,0.02291137675,4.313212875,3.279420725,27.145298719406128,0.6920795797582017,-0.3692226728327582,0.021574601500000002,0.7724609375,581416.3125,1.5,1.5,1.5,-108.8897705078125,87.2191162109375,-86.54782104492188,120.25,127.25,96.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.267121,1700.0,10.352,3000.0,1.000000478667885,0.26791293393212834,0.004710511093657984,0.0
3,NNL_1001-0289_run-001_DTIRL_000,4.0,0.024214226749999998,5.217270475,4.11265345,27.229053378105164,0.7486899388874257,-0.4096043428585577,0.026193148,0.763671875,986794.3125,1.5,1.5,1.5,-108.8897705078125,87.2191162109375,-86.54782104492188,116.5,128.0,103.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.267121,1700.0,10.352,3000.0,1.000000478667885,0.0,0.00539051562972106,0.0
4,NNL_1001-0290_run-001_DTILR_000,4.0,0.03292111,5.303493425,4.11121565,26.346471905708313,0.7593452204212499,-0.45144499682508,0.02949874875,0.74755859375,1320813.0,1.5,1.5,1.5,-105.0,85.3729248046875,-67.88528442382812,116.25,136.75,104.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.339363,1700.0,10.352,3000.0,1.000000478667885,0.1272120175220808,0.004542645853270756,0.0
5,NNL_1001-0290_run-001_DTIRL_000,4.0,0.02735334725,5.1179102499999996,3.962771525,29.44753587245941,0.8140497989700952,-0.4216080838554044,0.026929216,0.75390625,1159676.15625,1.5,1.5,1.5,-105.0,85.3729248046875,-67.88528442382812,115.25,137.25,104.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.339363,1700.0,10.352,3000.0,1.000000478667885,0.0,0.0027378114879823973,0.0
6,NNL_1001-0292_run-001_DTILR_000,4.0,0.023249311499999998,4.4717205,3.439485975,29.22094225883484,0.7195132265841936,-0.35497448843180207,0.0192497935,0.7684486224926614,441936.84375,1.5,1.5,1.5,-103.9451904296875,94.6573486328125,-66.71247100830078,123.25,126.5,93.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.291111,1700.0,10.352,3000.0,1.000000478667885,0.040748954277047444,0.0029905031926501747,0.0
7,NNL_1001-0292_run-001_DTIRL_000,4.0,0.01734690825,4.938226875,3.900770375,32.41465389728546,0.8272681957377781,-0.3246317413516211,0.01857130275,0.7724609375,204622.875,1.5,1.5,1.5,-103.9451904296875,94.6573486328125,-66.71247100830078,112.0,122.5,92.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.291111,1700.0,10.352,3000.0,1.000000478667885,0.08881135766682703,0.011924918778590919,0.0
8,NNL_1001-0295_run-001_DTILR_000,4.0,0.016471527,5.39550195,4.4212438,31.102563738822937,0.7388057548992281,-0.34359872373676137,0.01667244625,0.76318359375,170501.625,1.5,1.5,1.5,-105.5,94.3104248046875,-82.4505386352539,121.5,123.0,95.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.257139,1700.0,10.352,3000.0,1.000000478667885,0.02538807275440022,0.006006535338794905,0.0
9,NNL_1001-0295_run-001_DTIRL_000,4.0,0.02023634275,4.563020375,3.588903375,33.350046277046204,0.8713229204364531,-0.36259118771851995,0.0191187305,0.73095703125,443206.6875,1.5,1.5,1.5,-105.5,94.3104248046875,-82.4505386352539,121.5,129.0,99.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.257139,1700.0,10.352,3000.0,1.000000478667885,0.08553180712509081,0.0032079270575295486,0.0
