,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
0,NNL_1001-0288_run-001_T2Flair_000,3,0.015699463,3.971081,3.2427905,14.01637077331543,0.2151526813374488,-0.5999933923688867,0.01766249,0.755859375,939495.0,1.0,1.0,1.0,103.5,96.34347534179688,-121.6869659423828,185,204,222,1,0,T2Flair,,Siemens,Prisma_fit,3,0.103749,850,,,,0.0,0.0056678487322520095,0.0
1,NNL_1001-0289_run-001_T2Flair_000,3,0.014667563,3.4531803,2.5731766,15.485316514968872,0.2541027879884335,-0.5867254378371061,0.019895338,0.69921875,519546.0,1.0,1.0,1.0,100.11016845703124,97.86219787597656,-141.71481323242188,183,204,203,1,0,T2Flair,,Siemens,Prisma_fit,3,0.102806,850,,,,0.6998683942518884,0.02689722719754397,0.0
2,NNL_1001-0290_run-001_T2Flair_000,3,0.016708255,3.840317,2.9831362,14.897419214248655,0.2756907195496397,-0.6347762303053196,0.021005906,0.765625,1152467.0,1.0,1.0,1.0,99.43220520019533,96.2881317138672,-135.9915771484375,173,218,239,1,0,T2Flair,,Siemens,Prisma_fit,3,0.136388,850,,,,0.053254944992535365,0.009302624789938745,0.0
3,NNL_1001-0292_run-001_T2Flair_000,3,0.017645182,3.8810952,3.1099958,15.94023823738098,0.2812902886659835,-0.5893736833226587,0.018046334,0.771484375,985805.0,1.0,1.0,1.0,104.05485534667967,103.11111450195312,-127.0,187,231,213,1,0,T2Flair,,Siemens,Prisma_fit,3,0.113344,850,,,,0.0,0.010092355456376018,0.0
4,NNL_1001-0295_run-001_T2Flair_000,3,0.012942519,4.0328965,3.1829975,23.300905227661133,0.6102437714814121,-0.5749938853632031,0.017634079,0.771484375,445417.0,1.0,1.0,1.0,103.5,104.20677185058594,-144.35592651367188,208,205,198,1,0,T2Flair,,Siemens,Prisma_fit,3,0.104819,850,,,,0.2008885451760067,0.023727429020051444,0.0
5,NNL_1001-0296_run-001_T2Flair_000,3,0.015834311,3.705268,2.9442534,12.865091562271118,0.1678549822615545,-0.5826342171442666,0.014884926,0.755859375,797487.0,1.0,1.0,1.0,100.11016845703124,99.67796325683594,-127.0,175,222,212,1,0,T2Flair,,Siemens,Prisma_fit,3,0.109157,850,,,,0.07745868404053122,0.01976011944468224,0.0
6,NNL_1001-0297_run-001_T2Flair_000,3,0.016455948,4.2641587,3.5721242,20.434157848358154,0.4948836583810514,-0.5904411943952644,0.016027048,0.7578125,1097502.0,1.0,1.0,1.0,101.46610260009766,105.21206665039062,-115.64801025390624,192,220,228,1,0,T2Flair,,Siemens,Prisma_fit,3,0.109645,850,,,,0.0,0.010931019956146794,0.0
7,NNL_1001-0298_run-001_T2Flair_000,3,0.0143591575,3.6593113,2.8926122,16.405577659606934,0.3287377569411899,-0.6152519121225295,0.021829402,0.7265625,903914.0,1.0,1.0,1.0,94.68643951416016,105.10169982910156,-55.813568115234375,178,198,212,1,0,T2Flair,,Siemens,Prisma_fit,3,0.151181,850,,,,0.4097844908896131,0.020957348116710826,0.0
8,NNL_1001-0300_run-001_T2Flair_000,3,0.018309329,4.2671194,3.5443308,14.77086901664734,0.2824084179086801,-0.6296879461734063,0.016325386,0.763671875,1329131.0,1.0,1.0,1.0,103.5,94.25424194335938,-142.59323120117188,162,228,217,1,0,T2Flair,,Siemens,Prisma_fit,3,0.0913225,850,,,,0.0,0.007273986918977577,0.0
9,NNL_1001-0301_run-001_T2Flair_000,3,0.015190848,3.5480058,2.6734304,12.795534133911133,0.1923346068595931,-0.616612082843591,0.019623,0.76953125,929772.0,1.0,1.0,1.0,100.7881317138672,94.93220520019533,-149.37289428710938,163,216,228,1,0,T2Flair,,Siemens,Prisma_fit,3,0.126224,850,,,,0.16199747036215584,0.0024793248493585047,0.0
