,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
0,NNL_1001-0288_run-001_perf_000,4,0.02670433,7.314806,6.6181297,24.057459831237797,0.8747389241771375,-0.8111128020744544,0.027392799,0.431640625,1887525.0,1.875,1.875,4.0,-120.5,98.744873046875,-50.78450393676758,97,115,36,25,0,perf,,Siemens,Prisma_fit,3,0.370561,2440,,,,0.0,0.018818225005168776,0.0
1,NNL_1001-0289_run-001_perf_000,4,0.028738214,7.088287,6.3016357,18.40625524520874,0.737497834543969,-0.8100879010032496,0.034959536,0.42578125,1972954.6875,1.875,1.875,4.0,-123.88983154296876,101.8441162109375,-79.29782104492188,98,115,36,25,0,perf,,Siemens,Prisma_fit,3,0.370783,2440,,,,0.5341971834328212,0.023560620358687952,0.0
2,NNL_1001-0290_run-001_perf_000,4,0.026297895,6.833806,6.113274,24.499175548553467,0.8934209656643508,-0.8608332893364986,0.029833812,0.392578125,2463651.5625,1.875,1.875,4.0,-121.35595703125,99.9979248046875,-55.01646041870117,94,119,36,25,0,perf,,Siemens,Prisma_fit,3,0.488786,2440,,,,0.0,0.050327472001385605,0.0
3,NNL_1001-0292_run-001_perf_000,4,0.027692568,7.1132274,6.4263678,24.811224937438965,0.8781126010327556,-0.7949109856660754,0.028143058,0.443359375,2131664.0625,1.875,1.875,4.0,-118.94512939453124,109.28240966796876,-59.46247100830078,102,121,36,25,0,perf,,Siemens,Prisma_fit,3,0.408087,2440,,,,0.11486942105932615,0.022519995999597107,0.0
4,NNL_1001-0295_run-001_perf_000,4,0.030708754,7.209582,6.4718614,21.937150955200195,0.7868154956900693,-0.7204120228966427,0.026279956,0.484375,2059410.9375,1.875,1.875,4.0,-120.5,108.9354248046875,-75.2005386352539,100,119,36,25,0,perf,,Siemens,Prisma_fit,3,0.374886,2440,,,,0.08446968619996495,0.007239453715289455,0.0
5,NNL_1001-0296_run-001_perf_000,4,0.03140103,6.698718,5.9725714,23.077218532562256,0.849754593728204,-0.8011579050618651,0.025363877,0.416015625,1932595.3125,1.875,1.875,4.0,-123.88983154296876,106.802978515625,-71.85956573486328,92,120,36,25,0,perf,,Siemens,Prisma_fit,3,0.393941,2440,,,,0.0530797739808828,0.025951165615022448,0.0
6,NNL_1001-0297_run-001_perf_000,4,0.029526906,7.065465,6.309859,22.95222282409668,0.8691060241112115,-0.8800002688680666,0.027735267,0.392578125,2140678.125,1.875,1.875,4.0,-122.71185302734376,105.6929931640625,-35.108394622802734,89,110,36,25,0,perf,,Siemens,Prisma_fit,3,0.392168,2440,,,,0.0,0.018812226213326524,0.0
7,NNL_1001-0298_run-001_perf_000,4,0.031398978,8.490062,7.761075,24.73695516586304,0.9438340548270018,-1.0676995907355653,0.046094913,0.353515625,2200964.0625,1.875,1.875,4.0,-128.81353759765625,110.8023681640625,10.473976135253906,95,108,36,25,0,perf,,Siemens,Prisma_fit,3,0.542303,2440,,,,0.627104499309888,0.023541303855219138,0.0
8,NNL_1001-0300_run-001_perf_000,4,0.026835691,6.779112,6.01884,20.710182189941406,0.812032513768584,-0.8536627993869929,0.022886723,0.404296875,1899309.375,1.875,1.875,4.0,-120.0,99.98455810546876,-79.91767883300781,88,117,36,25,0,perf,,Siemens,Prisma_fit,3,0.329902,2440,,,,0.0739211731451988,0.014000969542744011,0.0
9,NNL_1001-0301_run-001_perf_000,4,0.025414133,6.571516,5.8770614,26.65668249130249,0.9310051036799636,-0.9513359758501068,0.027701855,0.388671875,2229089.0625,1.875,1.875,4.0,-123.38983154296876,102.732177734375,-70.95014190673828,90,124,36,25,0,perf,,Siemens,Prisma_fit,3,0.452667,2440,,,,0.2061063378164597,0.01672994040481407,0.0
10,NNL_1001-0302_run-001_perf_000,4,0.035649363,7.3296924,6.683728,24.32613849639893,0.9049475313467412,-0.8456914136410162,0.029070413,0.4375,2382370.3125,1.875,1.875,4.0,-122.9088134765625,102.85845947265624,-20.97512435913086,99,124,36,25,0,perf,,Siemens,Prisma_fit,3,0.435662,2440,,,,0.21223682412812533,0.02037819631435676,0.0
11,NNL_1001-0307_run-001_perf_000,4,0.04174495,7.624275,6.959371,23.956727981567383,0.8993135643513528,-0.852107741586047,0.025602348,0.376953125,2118923.4375,1.875,1.875,4.0,-123.12408447265624,106.38970947265624,-11.898948669433594,97,120,36,25,0,perf,,Siemens,Prisma_fit,3,0.505962,2440,,,,0.7407615260570882,0.00219125060469383,0.0
12,NNL_1001-0308_run-001_perf_000,4,0.033480372,6.9876866,6.2845945,20.94290018081665,0.7255694738399281,-0.7881699511857938,0.048178315,0.390625,2579118.75,1.875,1.875,4.0,-116.61016845703124,94.4058837890625,-30.949153900146484,101,119,36,25,0,perf,,Siemens,Prisma_fit,3,0.625778,2440,,,,0.430650414696074,0.008266979650111694,0.0
13,NNL_1001-0309_run-001_perf_000,4,0.024727175,6.7879004,5.9853826,23.05387020111084,0.8400040842078829,-0.7348211281434073,0.023812883,0.419921875,1736395.3125,1.875,1.875,4.0,-120.5,109.9022216796875,-66.28086853027344,93,110,36,25,0,perf,,Siemens,Prisma_fit,3,0.490057,2440,,,,0.0,0.0076229361356313,0.0
14,NNL_1001-0310_run-001_perf_000,4,0.033387836,6.784096,6.046028,22.224042415618896,0.8446585829281004,-0.7816020998002842,0.025819562,0.458984375,1948837.5,1.875,1.875,4.0,-121.35595703125,112.0362548828125,-12.367706298828123,93,121,36,25,0,perf,,Siemens,Prisma_fit,3,0.584438,2440,,,,0.19216327975778053,0.04207756180821472,0.0
15,NNL_1001-0313_run-001_perf_000,4,0.029183239,7.5181837,6.7894845,21.98637008666992,0.8747382462918156,-0.9582277641462534,0.027755985,0.45703125,1876893.75,1.875,1.875,4.0,-120.0,111.568115234375,-79.37530517578125,90,106,36,25,0,perf,,Siemens,Prisma_fit,3,0.342354,2440,,,,0.3823787552990292,0.04173656921008518,0.0
16,NNL_1001-0314_run-001_perf_000,4,0.03003387,6.598891,5.8428473,19.41836833953857,0.5928572522128748,-0.7541358052200935,0.03093506,0.388671875,2308851.5625,1.875,1.875,4.0,-120.0,98.125,-35.63091278076172,88,114,36,25,0,perf,,Siemens,Prisma_fit,3,0.458539,2440,,,,0.325964631600101,0.023331385032657297,0.0
17,NNL_1001-0316_run-001_perf_000,4,0.036710743,7.654091,6.8315854,21.840219497680664,0.8450411337865557,-0.818958817060792,0.04368616,0.4453125,2101950.0,1.875,1.875,4.0,-120.0,90.0614013671875,-68.49698638916016,91,123,36,25,0,perf,,Siemens,Prisma_fit,3,0.461987,2440,,,,0.4489583335355014,0.0558872349642547,0.0
18,NNL_1001-0317_run-001_perf_000,4,0.027055068,6.6840844,6.0602183,25.67737579345703,0.9117862894331352,-0.8872709382364368,0.02519596,0.431640625,2578626.5625,1.875,1.875,4.0,-120.0,98.125,-70.0,105,127,36,25,0,perf,,Siemens,Prisma_fit,3,0.288056,2440,,,,0.05719720017304335,0.008266979650111746,0.0
19,NNL_1001-0322_run-001_perf_000,4,0.028628465,6.7185416,5.964659,22.81109571456909,0.8499969956730716,-0.7745937445695114,0.031283554,0.43359375,1792251.5625,1.875,1.875,4.0,-122.71185302734376,104.2266845703125,-70.67796325683594,90,107,36,25,0,perf,,Siemens,Prisma_fit,3,0.345792,2440,,,,0.025954267486864694,0.022515182841846983,0.0
20,NNL_1001-0324_run-001_perf_000,4,0.032427933,6.1801114,5.495936,21.680550575256348,0.8145490828347354,-0.7916482080940382,0.030514851,0.525390625,2533289.0625,1.875,1.875,4.0,-125.4237060546875,101.61767578125,-21.867191314697266,103,124,36,25,0,perf,,Siemens,Prisma_fit,3,0.547722,2440,,,,0.19292276146496537,0.027958353076543797,0.0
21,NNL_1001-0326_run-001_perf_000,4,0.027318314,6.599252,5.9241424,25.962071418762207,0.9328570606884042,-0.987518007576504,0.03168354,0.4921875,2443275.0,1.875,1.875,4.0,-120.0,98.744873046875,-68.14043426513672,96,111,36,25,0,perf,,Siemens,Prisma_fit,3,0.413934,2440,,,,0.36947901313001935,0.04012266873831286,0.0
22,NNL_1001-0327_run-001_perf_000,4,0.03788227,7.511056,6.8426294,22.64100790023804,0.8416753616607562,-0.8118889772007178,0.030199893,0.388671875,2078957.8125,1.875,1.875,4.0,-120.0,108.658935546875,-11.221290588378906,86,119,36,25,0,perf,,Siemens,Prisma_fit,3,0.488709,2440,,,,0.24652953264222618,0.07123579912762945,0.0
23,NNL_1001-0328_run-001_perf_000,4,0.03646607,7.1361346,6.435284,23.3185076713562,0.8859386756148021,-0.901855595655746,0.030908054,0.376953125,2246934.375,1.875,1.875,4.0,-125.37890625,108.40155029296876,-0.4800186157226562,87,115,36,25,0,perf,,Siemens,Prisma_fit,3,0.596656,2440,,,,0.24070838189888097,0.03732800547225392,0.0
24,NNL_1001-0329_run-001_perf_000,4,0.028812297,6.806906,6.0720553,23.648791313171387,0.8717044236687538,-0.7894759545367934,0.023272695,0.546875,2314701.5625,1.875,1.875,4.0,-121.35595703125,95.00091552734376,-64.79322052001953,105,128,36,25,0,perf,,Siemens,Prisma_fit,3,0.451121,2440,,,,0.1481383077782431,0.02339995408043743,0.0
25,NNL_1001-0330_run-001_perf_000,4,0.03532903,8.026056,7.484841,26.512930393218998,0.9420175857261632,-0.9930305797033636,0.040488005,0.474609375,2897592.1875,1.875,1.875,4.0,-120.0,98.125,-11.140750885009766,108,128,36,25,0,perf,,Siemens,Prisma_fit,3,0.50691,2440,,,,0.6993323334337475,0.26722048760063977,1.0
26,NNL_1001-0331_run-001_perf_000,4,0.033560403,7.6197004,6.9718523,22.58725881576538,0.8716046373461799,-0.8397446751324213,0.048229937,0.517578125,3035432.8125,1.875,1.875,4.0,-127.4576416015625,91.89068603515624,-12.439254760742188,118,128,36,25,0,perf,,Siemens,Prisma_fit,3,0.606659,2440,,,,0.5082451325633995,0.5195976416600462,1.0
27,NNL_1001-0332_run-001_perf_000,4,0.03145121,7.064686,6.4065523,23.76664161682129,0.8791260311845798,-0.83324008148702,0.028937409,0.40234375,2271107.8125,1.875,1.875,4.0,-120.607666015625,103.8939208984375,-66.31173706054688,99,116,36,25,0,perf,,Siemens,Prisma_fit,3,0.351566,2440,,,,0.0,0.02876645558009936,0.0
